"module name","license","repository"
"@isaacs/cliui@8.0.2","ISC","https://github.com/yargs/cliui"
"@one-ini/wasm@0.1.1","MIT","https://github.com/one-ini/core"
"@pkgjs/parseargs@0.11.0","MIT","https://github.com/pkgjs/parseargs"
"@types/debug@4.1.13","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/ms@2.1.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@25.6.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/validator@13.15.10","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"abbrev@2.0.0","ISC","https://github.com/npm/abbrev-js"
"accepts@2.0.0","MIT","https://github.com/jshttp/accepts"
"ansi-regex@5.0.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-regex@6.2.2","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@4.3.0","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@6.2.3","MIT","https://github.com/chalk/ansi-styles"
"anymatch@3.1.3","ISC","https://github.com/micromatch/anymatch"
"api-tok@1.0.0","ISC",""
"append-field@1.0.0","MIT","https://github.com/LinusU/node-append-field"
"at-least-node@1.0.0","ISC","https://github.com/RyanZim/at-least-node"
"aws-ssl-profiles@1.1.2","MIT","https://github.com/mysqljs/aws-ssl-profiles"
"balanced-match@1.0.2","MIT","https://github.com/juliangruber/balanced-match"
"balanced-match@4.0.4","MIT","https://github.com/juliangruber/balanced-match"
"bcrypt@6.0.0","MIT","https://github.com/kelektiv/node.bcrypt.js"
"binary-extensions@2.3.0","MIT","https://github.com/sindresorhus/binary-extensions"
"bluebird@3.7.2","MIT","https://github.com/petkaantonov/bluebird"
"body-parser@2.2.2","MIT","https://github.com/expressjs/body-parser"
"brace-expansion@2.1.0","MIT","https://github.com/juliangruber/brace-expansion"
"brace-expansion@5.0.5","MIT","https://github.com/juliangruber/brace-expansion"
"braces@3.0.3","MIT","https://github.com/micromatch/braces"
"buffer-equal-constant-time@1.0.1","BSD-3-Clause","https://github.com/goinstant/buffer-equal-constant-time"
"buffer-from@1.1.2","MIT","https://github.com/LinusU/buffer-from"
"busboy@1.6.0","MIT","https://github.com/mscdex/busboy"
"bytes@3.1.2","MIT","https://github.com/visionmedia/bytes.js"
"call-bind-apply-helpers@1.0.2","MIT","https://github.com/ljharb/call-bind-apply-helpers"
"call-bound@1.0.4","MIT","https://github.com/ljharb/call-bound"
"chokidar@3.6.0","MIT","https://github.com/paulmillr/chokidar"
"cliui@7.0.4","ISC","https://github.com/yargs/cliui"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.4","MIT","https://github.com/colorjs/color-name"
"commander@10.0.1","MIT","https://github.com/tj/commander.js"
"concat-stream@2.0.0","MIT","https://github.com/maxogden/concat-stream"
"config-chain@1.1.13","MIT","https://github.com/dominictarr/config-chain"
"content-disposition@1.1.0","MIT","https://github.com/jshttp/content-disposition"
"content-type@1.0.5","MIT","https://github.com/jshttp/content-type"
"cookie-signature@1.2.2","MIT","https://github.com/visionmedia/node-cookie-signature"
"cookie@0.7.2","MIT","https://github.com/jshttp/cookie"
"cors@2.8.6","MIT","https://github.com/expressjs/cors"
"cross-spawn@7.0.6","MIT","https://github.com/moxystudio/node-cross-spawn"
"debug@4.4.3","MIT","https://github.com/debug-js/debug"
"denque@2.1.0","Apache-2.0","https://github.com/invertase/denque"
"depd@2.0.0","MIT","https://github.com/dougwilson/nodejs-depd"
"dotenv@17.4.2","BSD-2-Clause","https://github.com/motdotla/dotenv"
"dottie@2.0.7","MIT","https://github.com/mickhansen/dottie.js"
"dunder-proto@1.0.1","MIT","https://github.com/es-shims/dunder-proto"
"eastasianwidth@0.2.0","MIT","https://github.com/komagata/eastasianwidth"
"ecdsa-sig-formatter@1.0.11","Apache-2.0","https://github.com/Brightspace/node-ecdsa-sig-formatter"
"editorconfig@1.0.7","MIT","https://github.com/editorconfig/editorconfig-core-js"
"ee-first@1.1.1","MIT","https://github.com/jonathanong/ee-first"
"emoji-regex@8.0.0","MIT","https://github.com/mathiasbynens/emoji-regex"
"emoji-regex@9.2.2","MIT","https://github.com/mathiasbynens/emoji-regex"
"encodeurl@2.0.0","MIT","https://github.com/pillarjs/encodeurl"
"es-define-property@1.0.1","MIT","https://github.com/ljharb/es-define-property"
"es-errors@1.3.0","MIT","https://github.com/ljharb/es-errors"
"es-object-atoms@1.1.1","MIT","https://github.com/ljharb/es-object-atoms"
"escalade@3.2.0","MIT","https://github.com/lukeed/escalade"
"escape-html@1.0.3","MIT","https://github.com/component/escape-html"
"etag@1.8.1","MIT","https://github.com/jshttp/etag"
"express-rate-limit@8.4.1","MIT","https://github.com/express-rate-limit/express-rate-limit"
"express-validator@7.3.2","MIT","https://github.com/express-validator/express-validator"
"express@5.2.1","MIT","https://github.com/expressjs/express"
"fill-range@7.1.1","MIT","https://github.com/jonschlinkert/fill-range"
"finalhandler@2.1.1","MIT","https://github.com/pillarjs/finalhandler"
"foreground-child@3.3.1","ISC","https://github.com/tapjs/foreground-child"
